id,time,value
fitted values,2019-03-31,9.766888659483164e-4
fitted values,2019-04-07,0.0019046413577089288
fitted values,2019-04-14,0.003441658715823524
fitted values,2019-04-21,0.005150581925949078
fitted values,2019-04-28,0.004612255514062367
fitted values,2019-05-05,0.00233491106150894
fitted values,2019-05-12,0.0019101576950460528
fitted values,2019-05-19,0.0032674050118631282
fitted values,2019-05-26,0.002113650523125095
fitted values,2019-06-02,9.935096069682882e-4
fitted values,2019-06-09,-0.0044929160562660045
fitted values,2019-06-16,-0.006024837690546227
fitted values,2019-06-23,-0.0063966904207887615
fitted values,2019-06-30,-0.005450385923667305
fitted values,2019-07-07,-0.0023926731953264344
fitted values,2019-07-14,-0.0011240053141911947
fitted values,2019-07-21,-0.0037544075462003362
fitted values,2019-07-28,2.938311894004523e-4
fitted values,2019-08-04,-0.0025291549570483044
fitted values,2019-08-11,-0.005522829765145304
fitted values,2019-08-18,-0.0025168506393898433
fitted values,2019-08-25,-0.00030809321103075597
fitted values,2019-09-01,-0.0019258134296441295
fitted values,2019-09-08,6.184226357659884e-4
fitted values,2019-09-15,0.001832677542256597
fitted values,2019-09-22,0.002667090331015893
fitted values,2019-09-29,0.005372062807049934
fitted values,2019-10-06,0.00270059753129397
fitted values,2019-10-13,0.001558492279639962
fitted values,2019-10-20,1.6719562941054558e-4
fitted values,2019-10-27,5.180880352514952e-4
fitted values,2019-11-03,-5.019323013457522e-4
fitted values,2019-11-10,0.0010060255091430812
fitted values,2019-11-17,0.0015276880377928593
fitted values,2019-11-24,0.0018458989436774165
fitted values,2019-12-01,0.002392295972596814
fitted values,2019-12-08,8.302949944359006e-4
fitted values,2019-12-15,6.322147118687001e-4
fitted values,2019-12-22,0.002727111449105942
fitted values,2019-12-29,1.0473966453577142e-4
fitted values,2020-01-05,1.1001765321425007e-4
fitted values,2020-01-12,5.299435297458398e-4
fitted values,2020-01-19,-0.003344805072670652
fitted values,2020-01-26,-0.0038932751527115464
fitted values,2020-02-02,-0.003465817349928135
fitted values,2020-02-09,-0.007255157003470828
fitted values,2020-02-16,-0.005340330152311774
fitted values,2020-02-23,6.526149855005138e-4
fitted values,2020-03-01,-0.003913171658902934
fitted values,2020-03-08,-0.0037029866979305347
fitted values,2020-03-15,-0.012258467843214289
fitted values,2020-03-22,-0.018411835045750835
fitted values,2020-03-29,-0.018159178254617655
fitted values,2020-04-05,-0.026632092126626303
fitted values,2020-04-12,-0.02153523684522598
fitted values,2020-04-19,-0.012770458447594082
fitted values,2020-04-26,-0.020472382663890624
fitted values,2020-05-03,-0.01324016130722408
fitted values,2020-05-10,0.0033339586632073395
fitted values,2020-05-17,0.006291913829669801
fitted values,2020-05-24,0.0144764318680001
fitted values,2020-05-31,0.01538313809549573
fitted values,2020-06-07,0.014273840636511428
fitted values,2020-06-14,0.01386539881756757
fitted values,2020-06-21,0.012023901425684524
fitted values,2020-06-28,0.007011397195079008
fitted values,2020-07-05,0.00462418941881403
fitted values,2020-07-12,5.652325253385085e-4
fitted values,2020-07-19,2.1425017522938876e-4
fitted values,2020-07-26,-0.002568887166570651
fitted values,2020-08-02,-0.0038363554010342215
fitted values,2020-08-09,-0.0020637793278499026
fitted values,2020-08-16,-0.002472034899795474
fitted values,2020-08-23,-0.0031157083600658834
fitted values,2020-08-30,-0.0010202444197734881
fitted values,2020-09-06,-0.002463447961241418
fitted values,2020-09-13,-0.006378757749647445
fitted values,2020-09-20,-0.0026293800743985574
fitted values,2020-09-27,0.0012263192820735312
fitted values,2020-10-04,-0.0018108868780984336
fitted values,2020-10-11,-0.0024328648023734705
fitted values,2020-10-18,0.0022701276065650302
fitted values,2020-10-25,-2.650697522802038e-4
fitted values,2020-11-01,-0.0011153000841650782
fitted values,2020-11-08,-3.813470938776823e-4
fitted values,2020-11-15,-7.543420857775104e-4
fitted values,2020-11-22,8.677890305019841e-4
fitted values,2020-11-29,9.601882067917667e-4
fitted values,2020-12-06,0.0024375925979099036
fitted values,2020-12-13,0.0022324110363901046
fitted values,2020-12-20,0.003676615006272353
fitted values,2020-12-27,0.003500273842049216
fitted values,2021-01-03,-9.881681525702448e-5
fitted values,2021-01-10,1.1473333140887311e-4
fitted values,2021-01-17,0.001468444887728286
fitted values,2021-01-24,0.0012461574201237066
fitted values,2021-01-31,0.002231951235818452
fitted values,2021-02-07,0.005447545130024375
fitted values,2021-02-14,0.003762807177478576
fitted values,2021-02-21,0.006147210267826992
fitted values,2021-02-28,0.01031391162664733
fitted values,2021-03-07,0.009257482796202601
fitted values,2021-03-14,0.011551857522633248
fitted values,2021-03-21,0.008778850418325553
fitted values,2021-03-28,0.003945206587825382
fitted values,2021-04-04,0.005372500854793875
fitted values,2021-04-11,0.002485708928152547
fitted values,2021-04-18,0.001866806011694172
fitted values,2021-04-25,5.101773654306466e-4
fitted values,2021-05-02,-0.0017426847528587714
fitted values,2021-05-09,7.19744234706663e-4
fitted values,2021-05-16,-4.8730610791618105e-5
fitted values,2021-05-23,-0.004702564379315681
fitted values,2021-05-30,-0.002391417418092732
fitted values,2021-06-06,-7.553360880442929e-4
fitted values,2021-06-13,1.3940846496620816e-4
fitted values,2021-06-20,0.002312361413771583
fitted values,2021-06-27,0.004922698412548174
fitted values,2021-07-04,0.004632063678756204
fitted values,2021-07-11,0.004961329257952132
fitted values,2021-07-18,0.004105867458851954
fitted values,2021-07-25,0.0014399477203809628
fitted values,2021-08-01,0.003646310134264941
fitted values,2021-08-08,0.0018692380797190595
fitted values,2021-08-15,3.73207497834825e-4
fitted values,2021-08-22,-0.004231435435872668
fitted values,2021-08-29,-0.0019411682183998191
fitted values,2021-09-05,7.34176153831723e-4
fitted values,2021-09-12,-5.410290638781564e-4
fitted values,2021-09-19,0.0027494168925228935
fitted values,2021-09-26,0.00524557948071851
fitted values,2021-10-03,0.003052782776258387
fitted values,2021-10-10,0.005070280409638016
fitted values,2021-10-17,0.005264557467851004
fitted values,2021-10-24,0.004511999567886149
fitted values,2021-10-31,0.003262493253221531
fitted values,2021-11-07,0.0012519768498340553
fitted values,2021-11-14,0.0017724802959924787
fitted values,2021-11-21,0.002058178053640968
fitted values,2021-11-28,2.478131243242241e-4
fitted values,2021-12-05,-0.006222716274955763
fitted values,2021-12-12,-0.0031932672646277976
