time,canton,category,value
2019-08-11,ag,covid,0.0012584225128814902
2019-08-18,ag,covid,0
2019-08-25,ag,covid,0
2019-09-01,ag,covid,1.8876337693222355e-4
2019-09-08,ag,covid,0.0018876337693222354
2019-09-15,ag,covid,0.03146056282203726
2019-09-22,ag,covid,0
2019-09-29,ag,covid,0
2019-10-06,ag,covid,0.006606718192627824
2019-10-13,ag,covid,0.028692033293697985
2019-10-20,ag,covid,0.028188664288545384
2019-10-27,ag,covid,0
2019-11-03,ag,covid,0
2019-11-10,ag,covid,0
2019-11-17,ag,covid,2.516845025762981e-4
2019-11-24,ag,covid,0
2019-12-01,ag,covid,0
2019-12-08,ag,covid,0.0011955013872374158
2019-12-15,ag,covid,0.0011955013872374158
2019-12-22,ag,covid,0
2019-12-29,ag,covid,0.0017617915180340865
2020-01-05,ag,covid,0.08808957590170433
2020-01-12,ag,covid,0
2020-01-19,ag,covid,0.006355033690051526
2020-01-26,ag,covid,0.12074564011097898
2020-02-02,ag,covid,0.021141498216409035
2020-02-09,ag,covid,0.01447185889813714
